TimeEntry,Machine,Power,Mode,Execution,Program,Line,Sload,Xload,Yload,Zload,Aload,Bload,Cload,Tool,RPM,AlarmState,AlarmSeverity,Alarm,PartsCount,Feedrate
12/11/2009 14:36:37,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,0,0,0,0,,0,0,0,ACTIVE,CRITICAL,EMerGency Status Set
12/11/2009 14:36:48,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,0,0,0,0,,0,0,0,ACTIVE,CRITICAL,EMerGency Status Set
12/11/2009 14:36:59,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,0,0,0,0,,0,0,0,ACTIVE,CRITICAL,EMerGency Status Set
12/11/2009 14:37:10,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,0,0,0,0,,0,0,0,ACTIVE,CRITICAL,EMerGency Status Set
12/11/2009 14:37:22,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,0,0,0,0,,0,0,0,ACTIVE,CRITICAL,EMerGency Status Set
12/11/2009 14:37:33,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,0,0,0,0,,0,0,0,ACTIVE,CRITICAL,EMerGency Status Set
12/11/2009 14:37:44,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,0,0,0,0,,0,0,0,ACTIVE,CRITICAL,EMerGency Status Set
12/11/2009 14:37:56,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,0,0,0,0,,0,0,0,ACTIVE,CRITICAL,EMerGency Status Set
12/11/2009 14:38:07,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,0,0,0,0,,0,0,0,ACTIVE,CRITICAL,EMerGency Status Set
12/11/2009 14:38:18,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,0,0,0,0,,0,0,0,ACTIVE,CRITICAL,EMerGency Status Set
12/11/2009 14:38:29,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,0,0,0,0,,0,0,0,ACTIVE,CRITICAL,EMerGency Status Set
12/11/2009 14:38:40,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,0,0,0,0,,0,0,0,ACTIVE,CRITICAL,EMerGency Status Set
12/11/2009 14:38:52,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,0,0,0,0,,0,0,0,ACTIVE,CRITICAL,EMerGency Status Set
12/11/2009 14:39:03,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,0,0,0,0,,0,0,0,ACTIVE,CRITICAL,EMerGency Status Set
12/11/2009 14:39:14,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,0,0,0,0,,0,0,0,ACTIVE,CRITICAL,EMerGency Status Set
12/11/2009 14:39:25,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,0,0,0,0,,0,0,0,ACTIVE,CRITICAL,EMerGency Status Set
12/11/2009 14:39:36,m25709.nw.nos.boeing.com/Mazak1,ON,MANUAL,EXECUTING,9991,0,0,0,0,0,0,,0,0,0,ACTIVE,CRITICAL,EMerGency Status Set
